DATE_TIME,LAT_DEG,LON_DEG,POS_STRING,ALT,ALT_UNITS,DATUM,HDG_DEG,HDG_MILS,HDG_TYPE,VERT,HORIZ,VH_UNITS,NOTE
2026.09.16_13.27.45,31.546598,-097.115661,"+031.546598d / -097.115661d",389,FEET,WGE,61,1084,TRUE,3.0,0.5,DEG,SPIRE
2026.09.16_13.29.28,31.545604,-097.114565,"+031.545604d / -097.114565d",397,FEET,WGE,36,0640,TRUE,1.0,0.5,DEG,SPIRE
